,,,,,,,,,,,,,,,,,,1 for present,,total analysed,total missing,total added,total missing and added,net total missing,total disfluent
The Vaults is a family friendly Italian pub near Rainbow Vegetarian Café in the riverside area. It has a low customer rating and costs less than £20.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Waterman',1,eat_type=restaurant,1,food=Italian,1,price_range=high,1,area='city centre',1,family_friendly=no,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Waterman is an Italian restaurant near Raja Indian Cuisine in the city centre. It is not family-friendly and has a high price range.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Cricketers',1,eat_type=restaurant,1,food=Chinese,1,price_range=moderate,1,rating='1 out of 5',1,area=riverside,1,family_friendly=yes,1,near='All Bar One',1,added,,disfluency,,0,0,0,0,0,
The Cricketers is a moderately priced Chinese restaurant in the riverside area near All Bar One. It is family friendly and has a customer rating of 1 out of 5.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Vaults',1,eat_type=pub,1,food=Italian,1,price_range='more than £30',1,rating=high,1,area='city centre',1,family_friendly=no,1,near='Rainbow Vegetarian Café',1,added,,disfluency,,0,0,0,0,0,
"The Vaults is an Italian pub near Rainbow Vegetarian Café in the city centre. It is not family-friendly, has a high customer rating, and costs more than £30.",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Phoenix',1,eat_type=pub,1,food=French,1,price_range='less than £20',1,rating=low,1,area=riverside,1,family_friendly=no,1,near='Crowne Plaza Hotel',1,added,,disfluency,,0,0,0,0,0,
"The Phoenix is a French pub near Crowne Plaza Hotel in the riverside area. It is not family-friendly, has a low customer rating, and costs less than £20.",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Phoenix',1,eat_type=pub,1,food=French,1,price_range='more than £30',1,rating=low,1,area=riverside,1,family_friendly=no,1,near='Crowne Plaza Hotel',1,added,,disfluency,,0,0,0,0,0,
"The Phoenix is a French pub near Crowne Plaza Hotel in the riverside area. It is not family-friendly, has a low customer rating, and costs more than £30.",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Punter',1,eat_type=restaurant,1,food=Italian,1,price_range=£20-25,1,rating=high,1,area=riverside,1,family_friendly=no,1,near='Express by Holiday Inn',1,added,,disfluency,,0,0,0,0,0,
"The Punter is an Italian restaurant near Express by Holiday Inn in the riverside area. It has a high customer rating, is not family-friendly, and has a price range of £20-25.",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Wrestlers',1,eat_type=pub,1,food=Japanese,1,price_range='more than £30',1,rating='5 out of 5',1,area='city centre',1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,0,0,0,0,0,
The Wrestlers is a family friendly Japanese pub in the city centre near Raja Indian Cuisine. It costs more than £30 and has a customer rating of 5 out of 5.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name=Zizzi,1,eat_type='coffee shop',1,near='The Sorrento',1,added,,disfluency,,,,,,,,,,,,0,0,0,0,0,
Zizzi is a coffee shop near The Sorrento.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Mill',1,eat_type=pub,1,food='Fast food',1,price_range='less than £20',1,rating=low,1,area='city centre',1,family_friendly=no,1,near='Café Sicilia',1,added,,disfluency,,0,0,0,0,0,
"The Mill is a fast food pub near Café Sicilia in the city centre. It is not family-friendly, has a low customer rating, and costs less than £20.",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Phoenix',1,eat_type=pub,1,food='Fast food',1,price_range=high,1,area='city centre',1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Phoenix is a family friendly fast food pub in the city centre near Raja Indian Cuisine with a high price range.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name=Zizzi,1,eat_type=pub,1,rating=high,1,near='Burger King',1,added,,disfluency,,,,,,,,,,0,0,0,0,0,
Zizzi is a pub near Burger King with a high customer rating.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Waterman',1,eat_type=pub,1,food=Indian,1,price_range='more than £30',1,area=riverside,1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Waterman is a family friendly Indian pub in the riverside area near Raja Indian Cuisine. It costs more than £30.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Punter',1,eat_type=restaurant,1,food=Indian,1,price_range='less than £20',1,rating=low,1,area=riverside,1,family_friendly=no,1,near='Express by Holiday Inn',1,added,,disfluency,,0,0,0,0,0,
"The Punter is an Indian restaurant near Express by Holiday Inn in the riverside area. It is not family-friendly, has a low customer rating, and costs less than £20.",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Punter',1,eat_type=restaurant,1,food=English,1,price_range=high,1,area='city centre',1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Punter is a family friendly English restaurant in the city centre near Raja Indian Cuisine with a high price range.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Cricketers',1,eat_type=restaurant,1,food=English,1,price_range=cheap,1,rating=average,1,area=riverside,1,family_friendly=no,1,near='Café Rouge',1,added,,disfluency,,0,0,0,0,0,
The Cricketers is a cheap English restaurant near Café Rouge in the riverside area. It has an average customer rating and is not family-friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='Blue Spice',1,eat_type=pub,1,food=English,1,area='city centre',1,family_friendly=no,1,near='Rainbow Vegetarian Café',1,added,,disfluency,,,,,,0,0,0,0,0,
Blue Spice is an English pub near Rainbow Vegetarian Café in the city centre. It is not family-friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Vaults',1,eat_type=pub,1,food=Japanese,1,price_range=£20-25,1,rating='3 out of 5',1,area='city centre',1,family_friendly=yes,1,near='Rainbow Vegetarian Café',1,added,,disfluency,,0,0,0,0,0,
The Vaults is a family friendly Japanese pub in the city centre near Rainbow Vegetarian Café with a price range of £20-25 and a customer rating of 3 out of 5.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Waterman',1,eat_type=restaurant,1,food=Italian,1,price_range=cheap,1,area=riverside,1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Waterman is a cheap family friendly Italian restaurant in the riverside area near Raja Indian Cuisine.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Cricketers',1,eat_type=restaurant,1,rating='1 out of 5',1,family_friendly=yes,1,near=Avalon,1,added,,disfluency,,,,,,,,0,0,0,0,0,
The Cricketers is a family friendly restaurant near Avalon with a customer rating of 1 out of 5.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Mill',1,eat_type=pub,1,food='Fast food',1,price_range=cheap,1,rating='5 out of 5',1,area=riverside,1,family_friendly=yes,1,near='Café Sicilia',1,added,,disfluency,,0,0,0,0,0,
The Mill is a cheap fast food pub in the riverside area near Café Sicilia. It has a customer rating of 5 out of 5 and is family friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Punter',1,eat_type=restaurant,1,food=Indian,1,price_range='more than £30',1,rating=high,1,area=riverside,1,family_friendly=yes,1,near='Express by Holiday Inn',1,added,,disfluency,,0,0,0,0,0,
The Punter is a family friendly Indian restaurant in the riverside area near Express by Holiday Inn. It costs more than £30 and has a high customer rating.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name=Clowns,1,eat_type=pub,1,near='The Sorrento',1,added,,disfluency,,,,,,,,,,,,0,0,0,0,0,
Clowns is a pub near The Sorrento.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name=Strada,1,eat_type=pub,1,rating='1 out of 5',1,near='All Bar One',1,added,,disfluency,,,,,,,,,,0,0,0,0,0,
Strada is a pub near All Bar One with a customer rating of 1 out of 5.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name=Cocum,1,eat_type='coffee shop',1,rating=low,1,near='Express by Holiday Inn',1,added,,disfluency,,,,,,,,,,0,0,0,0,0,
Cocum is a coffee shop near Express by Holiday Inn. It has a low customer rating.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Waterman',1,eat_type=pub,1,food=Indian,1,price_range=moderate,1,area='city centre',1,family_friendly=no,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Waterman is a moderately priced Indian pub in the city centre near Raja Indian Cuisine. It is not family-friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Phoenix',1,eat_type=restaurant,1,food=Indian,1,price_range=£20-25,1,rating=high,1,area=riverside,1,family_friendly=no,1,near='Crowne Plaza Hotel',1,added,,disfluency,,0,0,0,0,0,
"The Phoenix is an Indian restaurant in the riverside area near Crowne Plaza Hotel. It has a high customer rating, is not family-friendly, and has a price range of £20-25.",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Waterman',1,eat_type=pub,1,food=Indian,1,price_range=moderate,1,area=riverside,1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Waterman is a moderately priced Indian pub in the riverside area near Raja Indian Cuisine. It is family friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Vaults',1,eat_type=restaurant,1,food=Indian,1,price_range=high,1,area='city centre',1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Vaults is a family friendly Indian restaurant in the city centre near Raja Indian Cuisine with a high price range.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Phoenix',1,eat_type=pub,1,food=French,1,price_range='more than £30',1,rating='5 out of 5',1,area='city centre',1,family_friendly=no,1,near='Crowne Plaza Hotel',1,added,,disfluency,,0,0,0,0,0,
The Phoenix is a French pub near Crowne Plaza Hotel in the city centre. It costs more than £30 and has a customer rating of 5 out of 5. It is not family-friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Mill',1,eat_type=pub,1,food=English,1,price_range='more than £30',1,area=riverside,1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Mill is a family friendly English pub in the riverside area near Raja Indian Cuisine. It costs more than £30.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Cricketers',1,eat_type=restaurant,1,rating=average,1,family_friendly=yes,1,near='Café Sicilia',1,added,,disfluency,,,,,,,,0,0,0,0,0,
The Cricketers is a family friendly restaurant near Café Sicilia with an average customer rating.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Phoenix',1,eat_type=restaurant,1,food=French,1,price_range=£20-25,1,area=riverside,1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Phoenix is a family friendly French restaurant in the riverside area near Raja Indian Cuisine with a price range of £20-25.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
